id,name,category,price,description,specs,stock
1,Bose Headphones Model 1,Headphones,986.0,Bose Headphones Model 1 is a high-quality headphones with excellent performance and reliability.,"{""brand"": ""Bose"", ""category"": ""Headphones"", ""model"": ""Model-1"", ""color"": ""Black"", ""warranty_period"": ""1 Year""}",42
2,Apple Smartphone Model 2,Smartphone,1351.29,Apple Smartphone Model 2 is a high-quality smartphone with excellent performance and reliability.,"{""brand"": ""Apple"", ""category"": ""Smartphone"", ""model"": ""Model-2"", ""color"": ""Red"", ""warranty_period"": ""6 Months""}",36
3,Xiaomi Smartphone Model 3,Smartphone,558.31,Xiaomi Smartphone Model 3 is a high-quality smartphone with excellent performance and reliability.,"{""brand"": ""Xiaomi"", ""category"": ""Smartphone"", ""model"": ""Model-3"", ""color"": ""Red"", ""warranty_period"": ""2 Years""}",19
4,Apple Smartphone Model 4,Smartphone,88.85,Apple Smartphone Model 4 is a high-quality smartphone with excellent performance and reliability.,"{""brand"": ""Apple"", ""category"": ""Smartphone"", ""model"": ""Model-4"", ""color"": ""White"", ""warranty_period"": ""2 Years""}",48
5,Lenovo Laptop Model 5,Laptop,832.71,Lenovo Laptop Model 5 is a high-quality laptop with excellent performance and reliability.,"{""brand"": ""Lenovo"", ""category"": ""Laptop"", ""model"": ""Model-5"", ""color"": ""Red"", ""warranty_period"": ""1 Year""}",40
6,HP Laptop Model 6,Laptop,1131.21,HP Laptop Model 6 is a high-quality laptop with excellent performance and reliability.,"{""brand"": ""HP"", ""category"": ""Laptop"", ""model"": ""Model-6"", ""color"": ""White"", ""warranty_period"": ""6 Months""}",40
7,Apple Smartphone Model 7,Smartphone,1477.88,Apple Smartphone Model 7 is a high-quality smartphone with excellent performance and reliability.,"{""brand"": ""Apple"", ""category"": ""Smartphone"", ""model"": ""Model-7"", ""color"": ""Red"", ""warranty_period"": ""6 Months""}",50
8,Bose Headphones Model 8,Headphones,365.7,Bose Headphones Model 8 is a high-quality headphones with excellent performance and reliability.,"{""brand"": ""Bose"", ""category"": ""Headphones"", ""model"": ""Model-8"", ""color"": ""Black"", ""warranty_period"": ""1 Year""}",49
9,Asus Laptop Model 9,Laptop,400.32,Asus Laptop Model 9 is a high-quality laptop with excellent performance and reliability.,"{""brand"": ""Asus"", ""category"": ""Laptop"", ""model"": ""Model-9"", ""color"": ""White"", ""warranty_period"": ""2 Years""}",12
10,Garmin Smartwatch Model 10,Smartwatch,1217.56,Garmin Smartwatch Model 10 is a high-quality smartwatch with excellent performance and reliability.,"{""brand"": ""Garmin"", ""category"": ""Smartwatch"", ""model"": ""Model-10"", ""color"": ""Red"", ""warranty_period"": ""2 Years""}",48
11,OnePlus Smartphone Model 11,Smartphone,1299.03,OnePlus Smartphone Model 11 is a high-quality smartphone with excellent performance and reliability.,"{""brand"": ""OnePlus"", ""category"": ""Smartphone"", ""model"": ""Model-11"", ""color"": ""Black"", ""warranty_period"": ""1 Year""}",19
12,Sennheiser Headphones Model 12,Headphones,52.17,Sennheiser Headphones Model 12 is a high-quality headphones with excellent performance and reliability.,"{""brand"": ""Sennheiser"", ""category"": ""Headphones"", ""model"": ""Model-12"", ""color"": ""Blue"", ""warranty_period"": ""6 Months""}",11
13,Bose Headphones Model 13,Headphones,1247.25,Bose Headphones Model 13 is a high-quality headphones with excellent performance and reliability.,"{""brand"": ""Bose"", ""category"": ""Headphones"", ""model"": ""Model-13"", ""color"": ""Red"", ""warranty_period"": ""1 Year""}",36
14,Lenovo Laptop Model 14,Laptop,667.61,Lenovo Laptop Model 14 is a high-quality laptop with excellent performance and reliability.,"{""brand"": ""Lenovo"", ""category"": ""Laptop"", ""model"": ""Model-14"", ""color"": ""Blue"", ""warranty_period"": ""2 Years""}",32
15,Apple Smartwatch Model 15,Smartwatch,77.03,Apple Smartwatch Model 15 is a high-quality smartwatch with excellent performance and reliability.,"{""brand"": ""Apple"", ""category"": ""Smartwatch"", ""model"": ""Model-15"", ""color"": ""Blue"", ""warranty_period"": ""1 Year""}",26
16,JBL Headphones Model 16,Headphones,1466.42,JBL Headphones Model 16 is a high-quality headphones with excellent performance and reliability.,"{""brand"": ""JBL"", ""category"": ""Headphones"", ""model"": ""Model-16"", ""color"": ""Blue"", ""warranty_period"": ""1 Year""}",7
17,Fitbit Smartwatch Model 17,Smartwatch,812.22,Fitbit Smartwatch Model 17 is a high-quality smartwatch with excellent performance and reliability.,"{""brand"": ""Fitbit"", ""category"": ""Smartwatch"", ""model"": ""Model-17"", ""color"": ""Black"", ""warranty_period"": ""2 Years""}",35
18,Apple Smartphone Model 18,Smartphone,444.13,Apple Smartphone Model 18 is a high-quality smartphone with excellent performance and reliability.,"{""brand"": ""Apple"", ""category"": ""Smartphone"", ""model"": ""Model-18"", ""color"": ""White"", ""warranty_period"": ""6 Months""}",14
19,Samsung Smartwatch Model 19,Smartwatch,1065.03,Samsung Smartwatch Model 19 is a high-quality smartwatch with excellent performance and reliability.,"{""brand"": ""Samsung"", ""category"": ""Smartwatch"", ""model"": ""Model-19"", ""color"": ""Silver"", ""warranty_period"": ""6 Months""}",5
20,Samsung Smartwatch Model 20,Smartwatch,919.94,Samsung Smartwatch Model 20 is a high-quality smartwatch with excellent performance and reliability.,"{""brand"": ""Samsung"", ""category"": ""Smartwatch"", ""model"": ""Model-20"", ""color"": ""Blue"", ""warranty_period"": ""1 Year""}",6
